Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_Elec_4x5.4",14.850000,3.300000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.850000,7.650000,-90.000000,top
"C3","47uF","C_Elec_4x5.4",14.250000,13.850000,0.000000,top
"C4","47uF","C_Elec_4x5.4",7.150000,13.850000,180.000000,top
"C5","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.650000,19.325001,90.000000,top
"C6","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.150000,19.275000,90.000000,top
"J1","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",1.500000,1.725000,180.000000,top
"R1","10r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.375001,1.425000,180.000000,top
"R2","7.5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.550000,19.950000,0.000000,top
"R3","7.5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.650000,19.950000,0.000000,top
"U1","PT8211","SOIC-8_3.9x4.9mm_P1.27mm",9.250000,7.750000,90.000000,top
